"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Nov 23 16:24:13 GMT 2022","Wed Nov 23 16:24:14 GMT 2022","1639","","Social footer","","Social footer","Should check facebook","Should check facebook",""
"passed","Wed Nov 23 16:23:34 GMT 2022","Wed Nov 23 16:23:37 GMT 2022","2911","","Twilio Pricing Calculator","","Twilio Pricing Calculator","Should show the full price breakdown for messaging API","Should show the full price breakdown for messaging API",""
"broken","Wed Nov 23 16:24:11 GMT 2022","Wed Nov 23 16:24:13 GMT 2022","1672","","Social footer","","Social footer","Should check twitter","Should check twitter",""
"broken","Wed Nov 23 16:23:26 GMT 2022","Wed Nov 23 16:23:27 GMT 2022","1041","","Twilio Pricing Calculator","","Twilio Pricing Calculator","Should show savings for Voice API","Should show savings for Voice API",""
"passed","Wed Nov 23 16:24:06 GMT 2022","Wed Nov 23 16:24:07 GMT 2022","1543","","Download SIP Trunking pricing","","Download SIP Trunking pricing","Should not download SIP pricing with empty inputs","Should not download SIP pricing with empty inputs",""
"passed","Wed Nov 23 16:24:01 GMT 2022","Wed Nov 23 16:24:06 GMT 2022","4500","","Download SIP Trunking pricing","","Download SIP Trunking pricing","Should download SIP pricing with valid credentials","Should download SIP pricing with valid credentials",""
"failed","Wed Nov 23 16:24:16 GMT 2022","Wed Nov 23 16:24:27 GMT 2022","11371","","Search","","Search","Should enter text and receive 10 results","Should enter text and receive 10 results",""
"passed","Wed Nov 23 16:23:52 GMT 2022","Wed Nov 23 16:23:58 GMT 2022","6410","","Download Phone Number and Outbound SMS pricing","","Download Phone Number and Outbound SMS pricing","Should download Messaging pricing with valid credentials","Should download Messaging pricing with valid credentials",""
"passed","Wed Nov 23 16:23:37 GMT 2022","Wed Nov 23 16:23:40 GMT 2022","2842","","Twilio Pricing Calculator","","Twilio Pricing Calculator","Should show the full price breakdown for Elastic SIP Trunking","Should show the full price breakdown for Elastic SIP Trunking",""
"passed","Wed Nov 23 16:23:28 GMT 2022","Wed Nov 23 16:23:30 GMT 2022","1996","","Twilio Pricing Calculator","","Twilio Pricing Calculator","Should show 0$ savings for messaging API if a user remove the services","Should show 0$ savings for messaging API if a user remove the services",""
"broken","Wed Nov 23 16:23:25 GMT 2022","Wed Nov 23 16:23:26 GMT 2022","1007","","Twilio Pricing Calculator","","Twilio Pricing Calculator","Should show savings for Elastic SIP Trunking","Should show savings for Elastic SIP Trunking",""
"broken","Wed Nov 23 16:23:46 GMT 2022","Wed Nov 23 16:23:51 GMT 2022","4111","","Careers","","Careers","Should verify ""Apply With LinkedIn"" is present","Should verify ""Apply With LinkedIn"" is present",""
"broken","Wed Nov 23 16:23:27 GMT 2022","Wed Nov 23 16:23:28 GMT 2022","1325","","Twilio Pricing Calculator","","Twilio Pricing Calculator","Should show savings for messaging API, Elastic SIP Trunking, Voice API","Should show savings for messaging API, Elastic SIP Trunking, Voice API",""
"passed","Wed Nov 23 16:23:30 GMT 2022","Wed Nov 23 16:23:32 GMT 2022","1720","","Twilio Pricing Calculator","","Twilio Pricing Calculator","Should show 0$ savings for Elastic SIP if a user remove the services","Should show 0$ savings for Elastic SIP if a user remove the services",""
"passed","Wed Nov 23 16:23:32 GMT 2022","Wed Nov 23 16:23:34 GMT 2022","2189","","Twilio Pricing Calculator","","Twilio Pricing Calculator","Should show 0$ savings for Voice API if a user remove the services","Should show 0$ savings for Voice API if a user remove the services",""
"passed","Wed Nov 23 16:23:22 GMT 2022","Wed Nov 23 16:23:25 GMT 2022","2566","","Twilio Pricing Calculator","","Twilio Pricing Calculator","Should show savings for messaging API","Should show savings for messaging API",""
"passed","Wed Nov 23 16:23:43 GMT 2022","Wed Nov 23 16:23:45 GMT 2022","2365","","Twilio Pricing Calculator","","Twilio Pricing Calculator","Should show the full price breakdown for messaging API, Elastic SIP, Voice API","Should show the full price breakdown for messaging API, Elastic SIP, Voice API",""
"passed","Wed Nov 23 16:23:58 GMT 2022","Wed Nov 23 16:24:00 GMT 2022","1444","","Download Phone Number and Outbound SMS pricing","","Download Phone Number and Outbound SMS pricing","Should not download Messaging pricing with empty inputs","Should not download Messaging pricing with empty inputs",""
"passed","Wed Nov 23 16:23:40 GMT 2022","Wed Nov 23 16:23:43 GMT 2022","2879","","Twilio Pricing Calculator","","Twilio Pricing Calculator","Should show the full price breakdown for Voice API","Should show the full price breakdown for Voice API",""
"broken","Wed Nov 23 16:24:09 GMT 2022","Wed Nov 23 16:24:11 GMT 2022","2161","","Social footer","","Social footer","Should check LinkedIn","Should check LinkedIn",""
