"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 24 14:07:30 GMT 2022","Thu Nov 24 14:07:32 GMT 2022","2498","","Download Phone Number and Outbound SMS pricing","","Download Phone Number and Outbound SMS pricing","Should not download Messaging pricing with empty inputs","Should not download Messaging pricing with empty inputs",""
"passed","Thu Nov 24 14:07:55 GMT 2022","Thu Nov 24 14:08:00 GMT 2022","4477","","Social footer","","Social footer","Should check twitter","Should check twitter",""
"passed","Thu Nov 24 14:07:42 GMT 2022","Thu Nov 24 14:07:44 GMT 2022","1999","","Download SIP Trunking pricing","","Download SIP Trunking pricing","Should not download SIP pricing with empty inputs","Should not download SIP pricing with empty inputs",""
"passed","Thu Nov 24 14:07:07 GMT 2022","Thu Nov 24 14:07:12 GMT 2022","4655","","Careers","","Careers","Should verify ""Apply With LinkedIn"" is present","Should verify ""Apply With LinkedIn"" is present",""
"failed","Thu Nov 24 14:08:00 GMT 2022","Thu Nov 24 14:08:15 GMT 2022","14832","","Social footer","","Social footer","Should check facebook","Should check facebook",""
"passed","Thu Nov 24 14:08:22 GMT 2022","Thu Nov 24 14:08:24 GMT 2022","2424","","Search","","Search","Should enter text and receive 10 results","Should enter text and receive 10 results",""
"passed","Thu Nov 24 14:07:37 GMT 2022","Thu Nov 24 14:07:42 GMT 2022","5416","","Download SIP Trunking pricing","","Download SIP Trunking pricing","Should download SIP pricing with valid credentials","Should download SIP pricing with valid credentials",""
"passed","Thu Nov 24 14:07:22 GMT 2022","Thu Nov 24 14:07:30 GMT 2022","7952","","Download Phone Number and Outbound SMS pricing","","Download Phone Number and Outbound SMS pricing","Should download Messaging pricing with valid credentials","Should download Messaging pricing with valid credentials",""
"passed","Thu Nov 24 14:06:50 GMT 2022","Thu Nov 24 14:06:59 GMT 2022","9642","","Twilio Pricing Calculator","","Twilio Pricing Calculator","Should show 0$ savings for messaging API if a user remove the services","Should show 0$ savings for messaging API if a user remove the services",""
"passed","Thu Nov 24 14:07:52 GMT 2022","Thu Nov 24 14:07:55 GMT 2022","3486","","Social footer","","Social footer","Should check LinkedIn","Should check LinkedIn",""
